Accession,Release_Date,Species,Genus,Family,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT262905,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH11/human/2020/USA, complete genome"
MT262906,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH12/human/2020/USA, complete genome"
MT262911,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH20/human/2020/USA, complete genome"
MT262912,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH21/human/2020/USA, complete genome"
MT262913,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH22/human/2020/USA, complete genome"
MT262993,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29836,GenBank,,,,"Zainab,T., Shamshad,S., Noureen,A., Malik,A., Asad,M.J., Rizvi,K.A.",,Pakistan,Homo sapiens,oronasopharynx,2020-03-12,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-Cov-2/Manga1/human/2020/PAK, complete genome"
MT263074,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29856,GenBank,,,,"Padilla-Rojas,C.P., Lope-Pari,P.N., Vega-Chozo,K., Balbuena-Torres,J., Caceres-Rey,O.A., Bailon-Calderon,H., Huaringa-Nunez,M., Rojas-Serrano,N.",,Peru,Homo sapiens,,2020-03-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Peru-10/human/2020/PER, complete genome"
MT262909,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH18/human/2020/USA, complete genome"
MT262910,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH19/human/2020/USA, complete genome"
MT262907,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH14/human/2020/USA, complete genome"
MT262908,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH17/human/2020/USA, complete genome"
MT263406,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29887,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW326/human/2020/USA, complete genome"
MT263408,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29810,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW328/human/2020/USA, complete genome"
MT263411,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29866,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW331/human/2020/USA, complete genome"
MT263412,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29829,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW332/human/2020/USA, complete genome"
MT263415,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29840,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW335/human/2020/USA, complete genome"
MT263417,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW337/human/2020/USA, complete genome"
MT263418,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29876,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW338/human/2020/USA, complete genome"
MT263420,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29839,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-20,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW340/human/2020/USA, complete genome"
MT263422,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29837,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW342/human/2020/USA, complete genome"
MT263423,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29829,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW343/human/2020/USA, complete genome"
MT263426,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29792,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW346/human/2020/USA, complete genome"
MT263427,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW347/human/2020/USA, partial genome"
MT263428,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29778,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW348/human/2020/USA, complete genome"
MT263430,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29838,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW350/human/2020/USA, complete genome"
MT263433,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW353/human/2020/USA, complete genome"
MT263434,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29790,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW354/human/2020/USA, complete genome"
MT263436,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29846,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW356/human/2020/USA, complete genome"
MT263437,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW357/human/2020/USA, complete genome"
MT263439,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29863,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW359/human/2020/USA, complete genome"
MT263459,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29917,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-24,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW380/human/2020/USA, complete genome"
MT263461,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29828,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-22,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW382/human/2020/USA, partial genome"
MT263466,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29634,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW387/human/2020/USA, partial genome"
MT263467,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29853,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW388/human/2020/USA, complete genome"
MT262916,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH23/human/2020/USA, complete genome"
MT262915,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH13/human/2020/USA, complete genome"
MT262914,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29882,GenBank,,,,"Tao,Y., Zhang,J., Paden,C.R., Queen,K., Uehara,A., Li,Y., Wang,H., Jacobs,J., Russell,D., Hiatt,B., Gant,J., Tong,S.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-NH24/human/2020/USA, complete genome"
MT259228,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29861,GenBank,,,,"Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.",,China,Homo sapiens,oronasopharynx,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Wuhan_YB012605/human/2020/CHN, complete genome"
MT259237,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29864,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW245/human/2020/USA, complete genome"
MT259260,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29871,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW268/human/2020/USA, complete genome"
MT259261,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29837,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW269/human/2020/USA, complete genome"
MT259270,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29436,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW278/human/2020/USA, partial genome"
MT259271,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29864,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW279/human/2020/USA, complete genome"
MT259280,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29642,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW290/human/2020/USA, complete genome"
MT259241,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29682,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW249/human/2020/USA, complete genome"
MT259242,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29173,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW250/human/2020/USA, partial genome"
MT259247,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29646,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW255/human/2020/USA, complete genome"
MT259252,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29790,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW260/human/2020/USA, complete genome"
MT259256,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29833,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW264/human/2020/USA, complete genome"
MT259263,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29878,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW271/human/2020/USA, complete genome"
MT259264,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29836,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW272/human/2020/USA, complete genome"
MT259274,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29779,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW284/human/2020/USA, complete genome"
MT259275,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29841,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW285/human/2020/USA, complete genome"
MT259276,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29872,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW286/human/2020/USA, partial genome"
MT259283,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29192,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW293/human/2020/USA, partial genome"
MT259226,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29868,GenBank,,,,"Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.",,China,Homo sapiens,oronasopharynx,2020-01-10,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Wuhan_OS52/human/2020/CHN, complete genome"
MT259227,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29863,GenBank,,,,"Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.",,China,Homo sapiens,oronasopharynx,2020-01-26,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Wuhan_YB012611/human/2020/CHN, complete genome"
MT259251,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29884,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW259/human/2020/USA, complete genome"
MT259279,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29399,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW289/human/2020/USA, partial genome"
MT259235,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29751,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW243/human/2020/USA, complete genome"
MT259238,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29161,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW246/human/2020/USA, partial genome"
MT259239,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29583,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW247/human/2020/USA, complete genome"
MT259240,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29544,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW248/human/2020/USA, partial genome"
MT259249,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29821,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW257/human/2020/USA, complete genome"
MT259282,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29815,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-15,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW292/human/2020/USA, complete genome"
MT256917,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,,2020-03-02,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia9/human/2020/ESP, partial genome"
MT256918,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29782,GenBank,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,Spain,Homo sapiens,,2020-03-06,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia10/human/2020/ESP, partial genome"
MT258381,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29899,GenBank,,,,"Arevalo,S., Batson,J., Botvinnik,O., Castaneda,G., Detweiler,A., Dynerman,D., Hao,S., Kamm,J., Kistler,A., Kumar,G.R., Langelier,C., Li,L., Miller,S., Mwakibete,L., Neff,N., Pisco,A., Phelps,M., Tan,M., Zhao,C.",,USA,Homo sapiens,,2020-03-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/CZB-RR057-013/human/2020/USA, complete genome"
MT258382,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29885,GenBank,,,,"Arevalo,S., Batson,J., Botvinnik,O., Castaneda,G., Detweiler,A., Dynerman,D., Hao,S., Kamm,J., Kistler,A., Kumar,G.R., Langelier,C., Li,L., Miller,S., Mwakibete,L., Neff,N., Pisco,A., Phelps,M., Tan,M., Zhao,C.",,USA,Homo sapiens,,2020-03-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/CZB-RR057-014/human/2020/USA, complete genome"
MT258383,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29887,GenBank,,,,"Arevalo,S., Batson,J., Botvinnik,O., Castaneda,G., Detweiler,A., Dynerman,D., Hao,S., Kamm,J., Kistler,A., Kumar,G.R., Langelier,C., Li,L., Miller,S., Mwakibete,L., Neff,N., Pisco,A., Phelps,M., Tan,M., Zhao,C.",,USA,Homo sapiens,,2020-03-18,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/CZB-RR057-015/human/2020/USA, complete genome"
MT259250,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29702,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW258/human/2020/USA, complete genome"
MT259259,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29280,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW267/human/2020/USA, partial genome"
MT259269,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29894,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW277/human/2020/USA, complete genome"
